Learner,selections,avg_weight,percentage,horizon,state,year,experiment
Chronos,602,1.0,19.294871794871796,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2020_log
Moirai,718,1.0,23.012820512820515,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2020_log
Time-MoE,596,1.0,19.102564102564102,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2020_log
Timer,623,1.0,19.96794871794872,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2020_log
TimesFM,581,1.0,18.621794871794872,horizon_12,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2020_log
Chronos,471,1.0,18.870192307692307,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2021_log
Moirai,636,1.0,25.48076923076923,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2021_log
Time-MoE,438,1.0,17.548076923076923,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2021_log
Timer,474,1.0,18.990384615384617,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2021_log
TimesFM,477,1.0,19.110576923076923,horizon_12,excluding_sp,2021,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2021_log
Chronos,578,1.0,18.525641025641026,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2022_log
Moirai,782,1.0,25.064102564102566,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2022_log
Time-MoE,578,1.0,18.525641025641026,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2022_log
Timer,601,1.0,19.262820512820515,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2022_log
TimesFM,581,1.0,18.621794871794872,horizon_12,excluding_sp,2022,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2022_log
Chronos,470,1.0,18.830128205128204,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2023_log
Moirai,652,1.0,26.121794871794872,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2023_log
Time-MoE,442,1.0,17.708333333333332,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2023_log
Timer,474,1.0,18.990384615384617,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2023_log
TimesFM,458,1.0,18.349358974358974,horizon_12,excluding_sp,2023,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2023_log
Chronos,478,1.0,19.150641025641026,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2024_log
Moirai,664,1.0,26.602564102564102,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2024_log
Time-MoE,433,1.0,17.34775641025641,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2024_log
Timer,451,1.0,18.068910256410255,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2024_log
TimesFM,470,1.0,18.830128205128204,horizon_12,excluding_sp,2024,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2024_log
Chronos,497,1.0,19.911858974358974,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2020_log
Moirai,511,1.0,20.47275641025641,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2020_log
Time-MoE,484,1.0,19.391025641025642,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2020_log
Timer,489,1.0,19.591346153846153,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2020_log
TimesFM,515,1.0,20.63301282051282,horizon_24,excluding_sp,2020,model_topk_1_norm_minmax_noise_False_ep_20_lr_1e-05_2020_log
