Sample,Learner,Weight
Sample 0,Timer,0.5324878692626953
Sample 0,Chronos,0.4675121605396271
Sample 1,TimesFM,0.5141883492469788
Sample 1,Chronos,0.48581162095069885
Sample 2,Time-MoE,0.7053232192993164
Sample 2,Chronos,0.294676810503006
Sample 3,Timer,0.5739471316337585
Sample 3,TimesFM,0.42605283856391907
Sample 4,Chronos,0.6025387048721313
Sample 4,Moirai,0.39746132493019104
Sample 5,Time-MoE,0.7054852843284607
Sample 5,TimesFM,0.2945147752761841
Sample 6,Moirai,0.6929712891578674
Sample 6,Time-MoE,0.30702871084213257
Sample 7,Chronos,0.5912812352180481
Sample 7,Timer,0.4087187647819519
Sample 8,TimesFM,0.7164291739463806
Sample 8,Time-MoE,0.28357088565826416
Sample 9,Moirai,0.6063161492347717
Sample 9,Chronos,0.3936838209629059
Sample 10,TimesFM,0.5657863616943359
Sample 10,Moirai,0.4342135787010193
Sample 11,Chronos,0.6077211499214172
Sample 11,Moirai,0.39227885007858276
Sample 12,TimesFM,0.5374330878257751
Sample 12,Moirai,0.46256691217422485
Sample 13,Time-MoE,0.6426650285720825
Sample 13,Chronos,0.3573349118232727
Sample 14,Moirai,0.5039551854133606
Sample 14,Chronos,0.496044784784317
Sample 15,Time-MoE,0.5316112041473389
Sample 15,Timer,0.4683888256549835
Sample 16,Time-MoE,0.6164623498916626
Sample 16,Timer,0.3835376799106598
Sample 17,Moirai,0.6744713187217712
Sample 17,Timer,0.32552868127822876
Sample 18,Time-MoE,0.5107032060623169
Sample 18,Chronos,0.4892967939376831
Sample 19,Time-MoE,0.5851657390594482
Sample 19,Chronos,0.41483432054519653
Sample 20,Timer,0.5163456797599792
Sample 20,TimesFM,0.483654260635376
Sample 21,Time-MoE,0.5035408735275269
Sample 21,Timer,0.49645912647247314
Sample 22,Chronos,0.5176412463188171
Sample 22,TimesFM,0.48235875368118286
Sample 23,Timer,0.8182274699211121
Sample 23,Chronos,0.18177255988121033
Sample 24,TimesFM,0.5205933451652527
Sample 24,Moirai,0.4794066250324249
Sample 25,TimesFM,0.5044270753860474
Sample 25,Moirai,0.49557292461395264
Sample 26,Time-MoE,0.729941189289093
Sample 26,Timer,0.270058810710907
Sample 27,Time-MoE,0.5868871808052063
Sample 27,Chronos,0.4131128191947937
Sample 28,Moirai,0.5337636470794678
Sample 28,TimesFM,0.46623632311820984
Sample 29,TimesFM,0.6168752312660217
Sample 29,Moirai,0.38312476873397827
Sample 30,Time-MoE,0.5159822702407837
Sample 30,TimesFM,0.4840177297592163
Sample 31,TimesFM,0.6574768424034119
Sample 31,Timer,0.3425231873989105
Sample 0,TimesFM,0.8069542050361633
Sample 0,Moirai,0.19304579496383667
Sample 1,Chronos,0.553020179271698
Sample 1,Moirai,0.4469797909259796
Sample 2,Time-MoE,0.7035766839981079
Sample 2,Chronos,0.29642337560653687
Sample 3,Moirai,0.5504223108291626
Sample 3,TimesFM,0.449577659368515
Sample 4,Chronos,0.6852912306785583
Sample 4,Timer,0.31470879912376404
Sample 5,Timer,0.53424072265625
Sample 5,Time-MoE,0.4657593071460724
Sample 6,Timer,0.5511467456817627
Sample 6,TimesFM,0.4488532543182373
Sample 7,Moirai,0.5943799614906311
Sample 7,Time-MoE,0.4056200683116913
Sample 8,TimesFM,0.5628445148468018
Sample 8,Time-MoE,0.43715548515319824
Sample 9,Timer,0.6621458530426025
Sample 9,TimesFM,0.33785417675971985
Sample 10,Time-MoE,0.6266713738441467
Sample 10,Chronos,0.37332862615585327
Sample 11,TimesFM,0.5661447644233704
Sample 11,Timer,0.43385520577430725
Sample 12,TimesFM,0.732730507850647
Sample 12,Chronos,0.26726946234703064
Sample 13,TimesFM,0.5072943568229675
Sample 13,Time-MoE,0.49270564317703247
Sample 14,Timer,0.5366681218147278
Sample 14,Chronos,0.4633319079875946
Sample 15,TimesFM,0.6752516031265259
Sample 15,Timer,0.3247484266757965
Sample 16,Time-MoE,0.7088882327079773
Sample 16,Moirai,0.2911117672920227
Sample 17,TimesFM,0.6932051181793213
Sample 17,Time-MoE,0.3067948818206787
Sample 18,Chronos,0.5439572930335999
Sample 18,Timer,0.45604267716407776
Sample 19,TimesFM,0.7774949669837952
Sample 19,Time-MoE,0.22250498831272125
Sample 20,Timer,0.6335198283195496
Sample 20,TimesFM,0.36648017168045044
Sample 21,Time-MoE,0.5626478791236877
Sample 21,Timer,0.43735212087631226
Sample 22,Time-MoE,0.5003401637077332
Sample 22,Chronos,0.49965980648994446
Sample 23,Moirai,0.6464096903800964
Sample 23,Time-MoE,0.35359030961990356
Sample 24,Time-MoE,0.6556848287582397
Sample 24,Timer,0.34431517124176025
Sample 25,Timer,0.509021520614624
Sample 25,Time-MoE,0.490978479385376
Sample 26,TimesFM,0.5135420560836792
Sample 26,Time-MoE,0.4864579737186432
Sample 27,Timer,0.5444157123565674
Sample 27,Time-MoE,0.45558422803878784
Sample 28,Moirai,0.7220444083213806
Sample 28,Time-MoE,0.277955561876297
Sample 29,TimesFM,0.560161292552948
Sample 29,Time-MoE,0.4398387372493744
Sample 30,Time-MoE,0.5224221348762512
Sample 30,Moirai,0.4775778651237488
Sample 31,Time-MoE,0.6043223142623901
Sample 31,Timer,0.3956776559352875
Sample 0,Moirai,0.5257933735847473
Sample 0,Timer,0.4742066264152527
Sample 1,Chronos,0.6075345277786255
Sample 1,TimesFM,0.3924654722213745
Sample 2,Moirai,0.6911864280700684
Sample 2,Chronos,0.30881360173225403
Sample 3,Time-MoE,0.7353092432022095
Sample 3,Moirai,0.26469069719314575
Sample 4,Chronos,0.5148345232009888
Sample 4,TimesFM,0.48516544699668884
Sample 5,Moirai,0.6570679545402527
Sample 5,Time-MoE,0.3429320752620697
Sample 6,Chronos,0.5235730409622192
Sample 6,Timer,0.4764269292354584
Sample 7,Timer,0.5947770476341248
Sample 7,TimesFM,0.40522292256355286
Sample 8,TimesFM,0.6338660717010498
Sample 8,Time-MoE,0.3661339581012726
Sample 9,TimesFM,0.6508115530014038
Sample 9,Chronos,0.3491884171962738
Sample 10,Chronos,0.5456777811050415
Sample 10,TimesFM,0.4543222188949585
Sample 11,TimesFM,0.635901153087616
Sample 11,Moirai,0.36409884691238403
Sample 12,Moirai,0.5718377232551575
Sample 12,Timer,0.42816227674484253
Sample 13,Time-MoE,0.8775521516799927
Sample 13,TimesFM,0.12244784086942673
Sample 14,Moirai,0.5602514743804932
Sample 14,Chronos,0.4397485554218292
Sample 15,Time-MoE,0.6420443058013916
Sample 15,TimesFM,0.3579556941986084
Sample 16,TimesFM,0.7040419578552246
Sample 16,Chronos,0.295958012342453
Sample 17,Time-MoE,0.6851404905319214
Sample 17,TimesFM,0.314859539270401
Sample 18,TimesFM,0.716309666633606
Sample 18,Moirai,0.28369030356407166
Sample 19,Chronos,0.5229228734970093
Sample 19,Timer,0.4770771265029907
Sample 20,TimesFM,0.5207403302192688
Sample 20,Moirai,0.4792596399784088
Sample 21,Time-MoE,0.5498843193054199
Sample 21,Moirai,0.4501156806945801
Sample 22,Chronos,0.5515201091766357
Sample 22,Moirai,0.44847986102104187
Sample 23,Timer,0.5122674703598022
Sample 23,Moirai,0.48773255944252014
Sample 24,Time-MoE,0.6954887509346008
Sample 24,TimesFM,0.30451127886772156
Sample 25,Time-MoE,0.7680147886276245
