horizon,state,year,experiment,num_epochs,min_loss
horizon_12,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_30_lr_1e-05_2020_log,20,0.1802073115339646
horizon_12,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_30_lr_1e-05_2021_log,30,0.2706996592191549
horizon_12,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_30_lr_1e-05_2022_log,16,0.2000743345572398
horizon_12,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_30_lr_1e-05_2023_log,11,0.1449249948446567
horizon_12,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_30_lr_1e-05_2024_log,26,0.1688035852633989
horizon_24,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_30_lr_1e-05_2020_log,30,0.2798485297423143
horizon_24,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_30_lr_1e-05_2021_log,30,0.2026823048408214
horizon_24,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_30_lr_1e-05_2022_log,27,0.2870056927204132
horizon_24,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_30_lr_1e-05_2023_log,20,0.27411455145249
horizon_24,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_30_lr_1e-05_2024_log,30,0.1978574716127835
horizon_3,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_30_lr_1e-05_2020_log,16,0.0963772214376009
horizon_3,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_30_lr_1e-05_2021_log,30,0.09574145422532
horizon_3,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_30_lr_1e-05_2022_log,20,0.0703846709086344
horizon_3,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_30_lr_1e-05_2023_log,30,0.0820266329325162
horizon_3,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_30_lr_1e-05_2024_log,24,0.1175524661174187
horizon_6,excluding_sp,2020,model_topk_2_norm_std_noise_True_ep_30_lr_1e-05_2020_log,13,0.1375304110921346
horizon_6,excluding_sp,2021,model_topk_2_norm_std_noise_True_ep_30_lr_1e-05_2021_log,30,0.1453161291204966
horizon_6,excluding_sp,2022,model_topk_2_norm_std_noise_True_ep_30_lr_1e-05_2022_log,15,0.0975531488656997
horizon_6,excluding_sp,2023,model_topk_2_norm_std_noise_True_ep_30_lr_1e-05_2023_log,30,0.0986399547411845
horizon_6,excluding_sp,2024,model_topk_2_norm_std_noise_True_ep_30_lr_1e-05_2024_log,22,0.139063054552445
