Epoch,Train Loss
1,0.14860401359888223
2,0.14419772647894347
3,0.13722093575275862
4,0.13460513376272643
5,0.13422867197256821
6,0.1307364536019472
7,0.1324310703919484
8,0.13184594076413375
9,0.13086458352895883
10,0.12856073276354715
11,0.12835334585263178
12,0.1298691246372003
13,0.1298202190261621
14,0.12984756552256072
15,0.12832096562935755
16,0.12822353381377
17,0.13095814333512232
18,0.12922776203889114
19,0.12908082570020968
20,0.12892858168253532
21,0.12885335431649134
22,0.1290757037126101
23,0.12920308915468362
24,0.12829424555485064
25,0.1266036148254688
26,0.12854249144975954
27,0.12668537348508835
28,0.12718958293016142
29,0.1253214358137204
30,0.12661357052051103
31,0.12564639976391426
32,0.12780400594839683
33,0.12633753567934036
34,0.12329505785153462
35,0.12648576096846506
36,0.12719443325813
37,0.12814802848375761
38,0.12758956677638567
39,0.12963785632298544
40,0.1264539911196782
41,0.1265940425487665
42,0.12551690523441023
43,0.12679791679749122
44,0.12833566390551054
