Sample,Learner,Weight
Sample 0,Timer,0.5524477362632751
Sample 0,Chronos,0.44755226373672485
Sample 1,TimesFM,0.521883487701416
Sample 1,Chronos,0.4781164824962616
Sample 2,Time-MoE,0.8415970206260681
Sample 2,Chronos,0.15840303897857666
Sample 3,Moirai,0.5218737721443176
Sample 3,TimesFM,0.4781262278556824
Sample 4,Chronos,0.6129690408706665
Sample 4,Moirai,0.3870308995246887
Sample 5,Time-MoE,0.6169452667236328
Sample 5,TimesFM,0.3830547332763672
Sample 6,Moirai,0.6934664249420166
Sample 6,Time-MoE,0.3065335750579834
Sample 7,Chronos,0.6413701176643372
Sample 7,Timer,0.35862985253334045
Sample 8,TimesFM,0.7849621772766113
Sample 8,Timer,0.21503779292106628
Sample 9,Moirai,0.6638475060462952
Sample 9,Chronos,0.3361525535583496
Sample 10,TimesFM,0.5623727440834045
Sample 10,Moirai,0.43762731552124023
Sample 11,Chronos,0.5360265374183655
Sample 11,Moirai,0.4639735221862793
Sample 12,TimesFM,0.5920782089233398
Sample 12,Moirai,0.40792182087898254
Sample 13,Time-MoE,0.6363271474838257
Sample 13,Chronos,0.3636728525161743
Sample 14,Moirai,0.5513707995414734
Sample 14,Chronos,0.448629230260849
Sample 15,Timer,0.5198129415512085
Sample 15,Time-MoE,0.4801870286464691
Sample 16,Time-MoE,0.5132436752319336
Sample 16,Timer,0.4867563247680664
Sample 17,Moirai,0.7677987217903137
Sample 17,TimesFM,0.23220129311084747
Sample 18,Time-MoE,0.5706325173377991
Sample 18,Chronos,0.4293674826622009
Sample 19,Time-MoE,0.5317614674568176
Sample 19,Chronos,0.46823856234550476
Sample 20,Timer,0.5160274505615234
Sample 20,TimesFM,0.48397254943847656
Sample 21,Time-MoE,0.5055707693099976
Sample 21,Timer,0.49442920088768005
Sample 22,TimesFM,0.8027067184448242
Sample 22,Chronos,0.19729328155517578
Sample 23,Timer,0.8685043454170227
Sample 23,Chronos,0.1314956694841385
Sample 24,TimesFM,0.7401177287101746
Sample 24,Moirai,0.25988224148750305
Sample 25,TimesFM,0.5198759436607361
Sample 25,Moirai,0.48012402653694153
Sample 26,Timer,0.5395734906196594
Sample 26,Time-MoE,0.4604265093803406
Sample 27,Time-MoE,0.5944197773933411
Sample 27,Timer,0.4055802524089813
Sample 28,TimesFM,0.5401178002357483
Sample 28,Moirai,0.4598821997642517
Sample 29,TimesFM,0.6551439166069031
Sample 29,Moirai,0.3448561429977417
Sample 30,Time-MoE,0.5138447284698486
Sample 30,TimesFM,0.4861552119255066
Sample 31,TimesFM,0.5171220898628235
Sample 31,Timer,0.48287785053253174
Sample 0,Timer,0.5493288040161133
Sample 0,Moirai,0.4506711959838867
Sample 1,Moirai,0.5123276114463806
Sample 1,Chronos,0.48767244815826416
Sample 2,TimesFM,0.6457899808883667
Sample 2,Timer,0.3542099893093109
Sample 3,Chronos,0.5983161926269531
Sample 3,Moirai,0.40168383717536926
Sample 4,Chronos,0.6546564102172852
Sample 4,Timer,0.34534358978271484
Sample 5,Chronos,0.7548999786376953
Sample 5,Timer,0.2451000064611435
Sample 6,Time-MoE,0.59056556224823
Sample 6,Timer,0.40943440794944763
Sample 7,Chronos,0.5067028403282166
Sample 7,Moirai,0.49329715967178345
Sample 8,Timer,0.5878693461418152
Sample 8,Moirai,0.4121306538581848
Sample 9,Chronos,0.5361619591712952
Sample 9,TimesFM,0.46383804082870483
Sample 10,Moirai,0.6613866090774536
Sample 10,Chronos,0.338613361120224
Sample 11,Moirai,0.5652790069580078
Sample 11,TimesFM,0.4347209632396698
Sample 12,Time-MoE,0.6267446875572205
Sample 12,Moirai,0.37325531244277954
Sample 13,TimesFM,0.6871904730796814
Sample 13,Chronos,0.312809556722641
Sample 14,TimesFM,0.6023144721984863
Sample 14,Moirai,0.3976854979991913
Sample 15,Moirai,0.5237947106361389
Sample 15,TimesFM,0.4762052893638611
Sample 16,Moirai,0.5913760662078857
Sample 16,Chronos,0.40862393379211426
