Sample,Learner,Weight
Sample 0,Timer,0.5306373238563538
Sample 0,Chronos,0.46936270594596863
Sample 1,TimesFM,0.5019264817237854
Sample 1,Chronos,0.4980734884738922
Sample 2,Time-MoE,0.7010555267333984
Sample 2,Chronos,0.29894450306892395
Sample 3,TimesFM,0.5870829224586487
Sample 3,Chronos,0.4129170775413513
Sample 4,Chronos,0.5826309323310852
Sample 4,TimesFM,0.4173690378665924
Sample 5,Time-MoE,0.7581385970115662
Sample 5,TimesFM,0.24186137318611145
Sample 6,Moirai,0.8372290134429932
Sample 6,Timer,0.16277101635932922
Sample 7,Timer,0.5109564661979675
Sample 7,Chronos,0.48904353380203247
Sample 8,TimesFM,0.8076121807098389
Sample 8,Time-MoE,0.19238786399364471
Sample 9,Moirai,0.5838197469711304
Sample 9,Chronos,0.41618022322654724
Sample 10,TimesFM,0.5566632747650146
Sample 10,Moirai,0.44333669543266296
Sample 11,Chronos,0.7411114573478699
Sample 11,Moirai,0.2588885724544525
Sample 12,Moirai,0.5138379335403442
Sample 12,TimesFM,0.48616209626197815
Sample 13,Time-MoE,0.6518844366073608
Sample 13,Chronos,0.34811559319496155
Sample 14,Chronos,0.5759686827659607
Sample 14,Moirai,0.4240313470363617
Sample 15,Time-MoE,0.5384808778762817
Sample 15,Timer,0.46151912212371826
Sample 16,Time-MoE,0.5650861859321594
Sample 16,Timer,0.43491384387016296
Sample 17,Moirai,0.6762312650680542
Sample 17,TimesFM,0.3237687051296234
Sample 18,Chronos,0.6170616149902344
Sample 18,Time-MoE,0.38293835520744324
Sample 19,Time-MoE,0.6334304213523865
Sample 19,Chronos,0.3665696084499359
Sample 20,TimesFM,0.506234347820282
Sample 20,Timer,0.4937656819820404
Sample 21,Time-MoE,0.5659343600273132
Sample 21,Timer,0.43406563997268677
Sample 22,TimesFM,0.8152548670768738
Sample 22,Chronos,0.1847451627254486
Sample 23,Timer,0.6881058812141418
Sample 23,Chronos,0.31189414858818054
Sample 24,Moirai,0.6555940508842468
Sample 24,TimesFM,0.3444059193134308
Sample 25,Moirai,0.5310735106468201
Sample 25,TimesFM,0.4689265191555023
Sample 26,Time-MoE,0.7957373857498169
Sample 26,Timer,0.2042626440525055
Sample 27,Time-MoE,0.6011839509010315
Sample 27,Timer,0.3988160789012909
Sample 28,Moirai,0.5389954447746277
Sample 28,TimesFM,0.4610045254230499
Sample 29,TimesFM,0.8598558306694031
Sample 29,Moirai,0.1401442140340805
Sample 30,Time-MoE,0.5032743215560913
Sample 30,TimesFM,0.4967256486415863
Sample 31,Timer,0.5043096542358398
Sample 31,Time-MoE,0.49569031596183777
Sample 0,Timer,0.5198072195053101
Sample 0,Chronos,0.48019278049468994
Sample 1,Time-MoE,0.5831122994422913
Sample 1,TimesFM,0.41688773036003113
Sample 2,Time-MoE,0.5117590427398682
Sample 2,Chronos,0.48824095726013184
Sample 3,Moirai,0.5872840285301208
Sample 3,Chronos,0.41271597146987915
Sample 4,Moirai,0.8250062465667725
Sample 4,Time-MoE,0.17499379813671112
Sample 5,Chronos,0.9634523391723633
Sample 5,TimesFM,0.036547668278217316
Sample 6,Chronos,0.5224428176879883
Sample 6,TimesFM,0.4775572121143341
Sample 7,Chronos,0.5160363912582397
Sample 7,TimesFM,0.48396363854408264
Sample 8,TimesFM,0.727598249912262
Sample 8,Time-MoE,0.2724018096923828
Sample 9,TimesFM,0.7193577885627747
Sample 9,Chronos,0.28064221143722534
