Sample,Learner,Weight
Sample 0,Timer,0.5489686727523804
Sample 0,Chronos,0.45103132724761963
Sample 1,Chronos,0.5306065678596497
Sample 1,Moirai,0.46939343214035034
Sample 2,Time-MoE,0.6874572038650513
Sample 2,Chronos,0.31254279613494873
Sample 3,Timer,0.6567452549934387
Sample 3,TimesFM,0.3432547152042389
Sample 4,Chronos,0.584149956703186
Sample 4,Moirai,0.4158500134944916
Sample 5,Time-MoE,0.659339427947998
Sample 5,TimesFM,0.34066057205200195
Sample 6,Moirai,0.7647461891174316
Sample 6,Time-MoE,0.23525379598140717
Sample 7,Chronos,0.8608629107475281
Sample 7,Timer,0.1391371190547943
Sample 8,TimesFM,0.6633921265602112
Sample 8,Time-MoE,0.33660784363746643
Sample 9,Moirai,0.5889200568199158
Sample 9,Chronos,0.41107994318008423
Sample 10,TimesFM,0.5630934238433838
Sample 10,Moirai,0.43690651655197144
Sample 11,Chronos,0.5581187009811401
Sample 11,Moirai,0.44188129901885986
Sample 12,TimesFM,0.5717801451683044
Sample 12,Moirai,0.42821982502937317
Sample 13,Time-MoE,0.6629946827888489
Sample 13,Chronos,0.3370053172111511
Sample 14,Moirai,0.5096556544303894
Sample 14,Chronos,0.490344375371933
Sample 15,Time-MoE,0.5742900967597961
Sample 15,Timer,0.42570990324020386
Sample 16,Time-MoE,0.6867625117301941
Sample 16,Timer,0.31323742866516113
Sample 17,Moirai,0.5891190767288208
Sample 17,Timer,0.4108809530735016
Sample 18,Time-MoE,0.547386646270752
Sample 18,Chronos,0.45261338353157043
Sample 19,Time-MoE,0.5262381434440613
Sample 19,Chronos,0.47376179695129395
Sample 20,Timer,0.647430419921875
Sample 20,TimesFM,0.3525695502758026
Sample 21,Timer,0.5153342485427856
Sample 21,Time-MoE,0.48466575145721436
Sample 22,TimesFM,0.7941509485244751
Sample 22,Chronos,0.20584902167320251
Sample 23,Timer,0.6446473598480225
Sample 23,Chronos,0.3553526699542999
Sample 24,Moirai,0.6606581807136536
Sample 24,TimesFM,0.33934178948402405
Sample 25,Moirai,0.5285669565200806
Sample 25,Time-MoE,0.47143301367759705
Sample 26,Time-MoE,0.5641276836395264
Sample 26,Timer,0.43587228655815125
Sample 27,Time-MoE,0.5967645049095154
Sample 27,Timer,0.403235524892807
Sample 28,TimesFM,0.5144572854042053
Sample 28,Moirai,0.48554274439811707
Sample 29,TimesFM,0.8719303011894226
Sample 29,Moirai,0.12806972861289978
Sample 30,Time-MoE,0.5149862766265869
Sample 30,TimesFM,0.4850137233734131
Sample 31,Time-MoE,0.5332590341567993
Sample 31,TimesFM,0.46674102544784546
Sample 0,Timer,0.6465498805046082
Sample 0,Moirai,0.35345008969306946
Sample 1,Time-MoE,0.5107961297035217
Sample 1,Chronos,0.4892038106918335
Sample 2,TimesFM,0.5066142082214355
Sample 2,Chronos,0.49338576197624207
Sample 3,Chronos,0.5851580500602722
Sample 3,TimesFM,0.4148419201374054
Sample 4,Chronos,0.6985329985618591
Sample 4,Timer,0.30146703124046326
Sample 5,Chronos,0.58971107006073
Sample 5,Timer,0.41028892993927
Sample 6,Time-MoE,0.5647279620170593
Sample 6,Timer,0.43527206778526306
Sample 7,Chronos,0.6065739393234253
Sample 7,Time-MoE,0.3934260308742523
Sample 8,Timer,0.6544722318649292
Sample 8,Moirai,0.3455277681350708
Sample 9,Chronos,0.569345235824585
Sample 9,TimesFM,0.43065476417541504
Sample 10,Moirai,0.6233376264572144
Sample 10,Chronos,0.37666237354278564
Sample 11,Moirai,0.614692747592926
Sample 11,TimesFM,0.385307252407074
Sample 12,Time-MoE,0.5249664783477783
Sample 12,Moirai,0.47503358125686646
Sample 13,TimesFM,0.6732190251350403
Sample 13,Chronos,0.32678094506263733
Sample 14,TimesFM,0.6787296533584595
Sample 14,Moirai,0.32127031683921814
Sample 15,Moirai,0.5665057301521301
Sample 15,TimesFM,0.4334942698478699
Sample 16,Moirai,0.6478885412216187
Sample 16,Chronos,0.3521115183830261
Sample 17,Timer,0.5635043978691101
Sample 17,Moirai,0.4364955723285675
Sample 18,Moirai,0.6347374320030212
Sample 18,TimesFM,0.36526256799697876
Sample 19,Chronos,0.659988284111023
Sample 19,Timer,0.3400117754936218
Sample 20,Chronos,0.5177955031394958
Sample 20,Moirai,0.48220446705818176
Sample 21,Chronos,0.6621454954147339
Sample 21,TimesFM,0.3378545045852661
Sample 22,Time-MoE,0.7164437174797058
Sample 22,Timer,0.2835563123226166
Sample 23,Moirai,0.6097555756568909
Sample 23,TimesFM,0.39024442434310913
Sample 24,Time-MoE,0.7574440240859985
Sample 24,TimesFM,0.2425559014081955
Sample 25,TimesFM,0.5197514295578003
Sample 25,Timer,0.4802485406398773
Sample 26,Timer,0.5693179368972778
Sample 26,Chronos,0.43068209290504456
Sample 27,Chronos,0.6630514860153198
Sample 27,Timer,0.3369484841823578
Sample 28,Time-MoE,0.6059730052947998
Sample 28,TimesFM,0.3940269649028778
Sample 29,Timer,0.5030361413955688
Sample 29,Time-MoE,0.4969637989997864
Sample 30,Timer,0.585623025894165
Sample 30,Moirai,0.41437700390815735
Sample 31,TimesFM,0.5864437818527222
Sample 31,Chronos,0.41355618834495544
Sample 0,Moirai,0.6280192136764526
Sample 0,Timer,0.371980756521225
Sample 1,Timer,0.9060681462287903
Sample 1,Time-MoE,0.09393186867237091
Sample 2,Timer,0.6148372888565063
Sample 2,Chronos,0.38516271114349365
Sample 3,Timer,0.6324649453163147
Sample 3,Chronos,0.3675350844860077
Sample 4,Time-MoE,0.5639728903770447
Sample 4,Moirai,0.4360271394252777
Sample 5,Timer,0.5936465859413147
Sample 5,Chronos,0.4063534140586853
Sample 6,TimesFM,0.6634420156478882
Sample 6,Chronos,0.3365579843521118
Sample 7,Chronos,0.576714038848877
Sample 7,Moirai,0.42328593134880066
Sample 8,Time-MoE,0.794922947883606
Sample 8,Moirai,0.20507705211639404
Sample 9,TimesFM,0.6408063769340515
Sample 9,Chronos,0.3591935634613037
Sample 10,TimesFM,0.7608631253242493
Sample 10,Moirai,0.23913690447807312
Sample 11,Chronos,0.5156738758087158
Sample 11,Moirai,0.4843260943889618
Sample 12,Time-MoE,0.5794552564620972
Sample 12,TimesFM,0.4205447733402252
Sample 13,TimesFM,0.7255217432975769
Sample 13,Timer,0.2744782567024231
Sample 14,Timer,0.7971516847610474
Sample 14,TimesFM,0.20284830033779144
Sample 15,TimesFM,0.6598129272460938
Sample 15,Time-MoE,0.34018707275390625
Sample 16,Chronos,0.6811332106590271
Sample 16,Moirai,0.3188668191432953
Sample 17,Moirai,0.5808186531066895
Sample 17,Chronos,0.41918134689331055
Sample 18,Moirai,0.5474086999893188
Sample 18,Timer,0.45259132981300354
Sample 19,Timer,0.5952925682067871
Sample 19,Chronos,0.4047074317932129
Sample 20,Time-MoE,0.6095334887504578
Sample 20,Timer,0.39046648144721985
Sample 21,Chronos,0.6108810901641846
Sample 21,Timer,0.38911890983581543
Sample 22,Timer,0.510276198387146
Sample 22,Time-MoE,0.489723801612854
Sample 23,Time-MoE,0.5241885185241699
Sample 23,Moirai,0.47581151127815247
Sample 24,Time-MoE,0.5196947455406189
Sample 24,Moirai,0.4803052246570587
Sample 25,Timer,0.5455635190010071
Sample 25,TimesFM,0.45443645119667053
Sample 26,Time-MoE,0.5653124451637268
Sample 26,Timer,0.4346875548362732
Sample 27,Chronos,0.5668212175369263
Sample 27,Moirai,0.4331788420677185
Sample 28,Time-MoE,0.7665018439292908
Sample 28,Moirai,0.23349812626838684
Sample 29,Chronos,0.555560827255249
Sample 29,TimesFM,0.444439172744751
Sample 30,Timer,0.818234920501709
Sample 30,Time-MoE,0.18176515400409698
Sample 31,Time-MoE,0.5535504221916199
Sample 31,TimesFM,0.4464496076107025
Sample 0,Time-MoE,0.5993204712867737
Sample 0,Chronos,0.4006795287132263
