Sample,Learner,Weight
Sample 0,Time-MoE,0.5
Sample 0,Moirai,0.5
Sample 1,Time-MoE,0.5
Sample 1,Moirai,0.5
Sample 2,Time-MoE,0.5
Sample 2,Moirai,0.5
Sample 3,Time-MoE,0.5
Sample 3,Moirai,0.5
Sample 4,Time-MoE,0.5
Sample 4,Moirai,0.5
Sample 5,Time-MoE,0.5
Sample 5,Moirai,0.5
Sample 6,Time-MoE,0.5
Sample 6,Moirai,0.5
Sample 7,Time-MoE,0.5
Sample 7,Moirai,0.5
Sample 8,Time-MoE,0.5
Sample 8,Moirai,0.5
Sample 9,Time-MoE,0.5
Sample 9,Moirai,0.5
Sample 10,Time-MoE,0.5
Sample 10,Moirai,0.5
Sample 11,Time-MoE,0.5
Sample 11,Moirai,0.5
Sample 12,Time-MoE,0.5
Sample 12,Moirai,0.5
Sample 13,Time-MoE,0.5
Sample 13,Moirai,0.5
Sample 14,Time-MoE,0.5
Sample 14,Moirai,0.5
Sample 15,Time-MoE,0.5
Sample 15,Moirai,0.5
Sample 16,Time-MoE,0.5
Sample 16,Moirai,0.5
Sample 17,Time-MoE,0.5
Sample 17,Moirai,0.5
Sample 18,Time-MoE,0.5
Sample 18,Moirai,0.5
Sample 19,Time-MoE,0.5
Sample 19,Moirai,0.5
Sample 20,Time-MoE,0.5
Sample 20,Moirai,0.5
Sample 21,Time-MoE,0.5
Sample 21,Moirai,0.5
Sample 22,Time-MoE,0.5
Sample 22,Moirai,0.5
Sample 23,Time-MoE,0.5
Sample 23,Moirai,0.5
Sample 24,Time-MoE,0.5
Sample 24,Moirai,0.5
Sample 25,Time-MoE,0.5
Sample 25,Moirai,0.5
Sample 26,Time-MoE,0.5
Sample 26,Moirai,0.5
Sample 27,Time-MoE,0.5
Sample 27,Moirai,0.5
Sample 28,Time-MoE,0.5
Sample 28,Moirai,0.5
Sample 29,Time-MoE,0.5
Sample 29,Moirai,0.5
Sample 30,Time-MoE,0.5
Sample 30,Moirai,0.5
Sample 31,Time-MoE,0.5
Sample 31,Moirai,0.5
Sample 0,Timer,0.5
Sample 0,TimesFM,0.5
Sample 1,Moirai,0.500104546546936
Sample 1,TimesFM,0.49989545345306396
Sample 2,Time-MoE,0.5002143383026123
Sample 2,TimesFM,0.4997856616973877
Sample 3,Moirai,0.50010746717453
Sample 3,TimesFM,0.4998925030231476
Sample 4,Time-MoE,0.5003374814987183
Sample 4,TimesFM,0.4996625483036041
Sample 5,Moirai,0.5000940561294556
Sample 5,TimesFM,0.49990594387054443
Sample 6,Timer,0.5
Sample 6,TimesFM,0.5
Sample 7,Time-MoE,0.5009407997131348
Sample 7,TimesFM,0.4990592300891876
Sample 8,Timer,0.5
Sample 8,TimesFM,0.5
Sample 9,Moirai,0.5001173615455627
Sample 9,TimesFM,0.4998825788497925
Sample 10,Moirai,0.5000523924827576
Sample 10,TimesFM,0.49994760751724243
Sample 11,Timer,0.5
Sample 11,TimesFM,0.5
Sample 12,Timer,0.5
Sample 12,TimesFM,0.5
Sample 13,Moirai,0.5001195669174194
Sample 13,TimesFM,0.4998803734779358
Sample 14,Moirai,0.5000183582305908
Sample 14,TimesFM,0.4999816119670868
Sample 15,Time-MoE,0.5004376769065857
Sample 15,TimesFM,0.4995622932910919
Sample 16,Timer,0.5
Sample 16,TimesFM,0.5
Sample 17,Moirai,0.5001124143600464
Sample 17,TimesFM,0.4998875856399536
Sample 18,Time-MoE,0.500214695930481
Sample 18,TimesFM,0.49978530406951904
Sample 19,Moirai,0.500114917755127
Sample 19,TimesFM,0.49988508224487305
Sample 20,Moirai,0.5000733733177185
Sample 20,TimesFM,0.4999266564846039
Sample 21,Moirai,0.500100314617157
Sample 21,TimesFM,0.499899685382843
Sample 22,Timer,0.5
Sample 22,TimesFM,0.5
Sample 23,Time-MoE,0.5014467835426331
Sample 23,TimesFM,0.49855324625968933
Sample 24,Moirai,0.5000287294387817
Sample 24,TimesFM,0.49997127056121826
Sample 25,Moirai,0.5000991821289062
Sample 25,TimesFM,0.49990081787109375
Sample 26,Moirai,0.5000396370887756
Sample 26,TimesFM,0.499960333108902
Sample 27,Moirai,0.5001178979873657
Sample 27,TimesFM,0.4998820424079895
Sample 28,Time-MoE,0.501136839389801
Sample 28,TimesFM,0.498863160610199
Sample 29,Moirai,0.5001307129859924
Sample 29,TimesFM,0.49986934661865234
Sample 30,Moirai,0.5000046491622925
