Sample,Learner,Weight
Sample 0,Timer,0.5387269854545593
Sample 0,Chronos,0.4612730145454407
Sample 1,Chronos,0.5016006827354431
Sample 1,TimesFM,0.4983993470668793
Sample 2,Time-MoE,0.5365480780601501
Sample 2,Chronos,0.46345198154449463
Sample 3,Moirai,0.5056785345077515
Sample 3,TimesFM,0.4943214952945709
Sample 4,Chronos,0.604131817817688
Sample 4,TimesFM,0.3958681523799896
Sample 5,Time-MoE,0.6851915717124939
Sample 5,TimesFM,0.3148084282875061
Sample 6,Moirai,0.8018072247505188
Sample 6,Timer,0.1981927454471588
Sample 7,Chronos,0.646260678768158
Sample 7,Timer,0.3537393808364868
Sample 8,TimesFM,0.7034851908683777
Sample 8,Time-MoE,0.2965148091316223
Sample 9,Moirai,0.5890184044837952
Sample 9,Chronos,0.4109816253185272
Sample 10,TimesFM,0.595908522605896
Sample 10,Moirai,0.4040915071964264
Sample 11,Chronos,0.522019624710083
Sample 11,Moirai,0.4779803454875946
Sample 12,TimesFM,0.5087840557098389
Sample 12,Moirai,0.49121588468551636
Sample 13,Time-MoE,0.6420332193374634
Sample 13,Chronos,0.35796675086021423
Sample 14,Moirai,0.5294537544250488
Sample 14,Chronos,0.4705462157726288
Sample 15,Time-MoE,0.5011012554168701
Sample 15,Timer,0.4988987445831299
Sample 16,Time-MoE,0.6984910368919373
Sample 16,Timer,0.30150893330574036
Sample 17,Moirai,0.6740634441375732
Sample 17,TimesFM,0.32593655586242676
Sample 18,Time-MoE,0.6098611950874329
Sample 18,Moirai,0.3901388347148895
Sample 19,Time-MoE,0.5250043869018555
Sample 19,Chronos,0.4749956727027893
Sample 20,TimesFM,0.5058292150497437
Sample 20,Timer,0.49417075514793396
Sample 21,Time-MoE,0.5266981720924377
Sample 21,Timer,0.47330179810523987
Sample 22,TimesFM,0.6532905101776123
Sample 22,Chronos,0.34670954942703247
Sample 23,Timer,0.7915428280830383
Sample 23,Chronos,0.20845720171928406
Sample 24,Moirai,0.7691752910614014
Sample 24,TimesFM,0.23082469403743744
Sample 25,Moirai,0.5012825727462769
Sample 25,TimesFM,0.49871745705604553
Sample 26,Time-MoE,0.8281778693199158
