Sample,Learner,Weight
Sample 0,Time-MoE,0.5
Sample 0,Moirai,0.5
Sample 1,Time-MoE,0.5
Sample 1,Moirai,0.5
Sample 2,Time-MoE,0.5
Sample 2,Moirai,0.5
Sample 3,Time-MoE,0.5
Sample 3,Moirai,0.5
Sample 4,Time-MoE,0.5
Sample 4,Moirai,0.5
Sample 5,Time-MoE,0.5
Sample 5,Moirai,0.5
Sample 6,Time-MoE,0.5
Sample 6,Moirai,0.5
Sample 7,Time-MoE,0.5
Sample 7,Moirai,0.5
Sample 8,Time-MoE,0.5
Sample 8,Moirai,0.5
Sample 9,Time-MoE,0.5
Sample 9,Moirai,0.5
Sample 10,Time-MoE,0.5
Sample 10,Moirai,0.5
Sample 11,Time-MoE,0.5
Sample 11,Moirai,0.5
Sample 12,Time-MoE,0.5
Sample 12,Moirai,0.5
Sample 13,Time-MoE,0.5
Sample 13,Moirai,0.5
Sample 14,Time-MoE,0.5
Sample 14,Moirai,0.5
Sample 15,Time-MoE,0.5
Sample 15,Moirai,0.5
Sample 16,Time-MoE,0.5
Sample 16,Moirai,0.5
Sample 17,Time-MoE,0.5
Sample 17,Moirai,0.5
Sample 18,Time-MoE,0.5
Sample 18,Moirai,0.5
Sample 19,Time-MoE,0.5
Sample 19,Moirai,0.5
Sample 20,Time-MoE,0.5
Sample 20,Moirai,0.5
Sample 21,Time-MoE,0.5
Sample 21,Moirai,0.5
Sample 22,Time-MoE,0.5
Sample 22,Moirai,0.5
Sample 23,Time-MoE,0.5
Sample 23,Moirai,0.5
Sample 24,Time-MoE,0.5
Sample 24,Moirai,0.5
Sample 25,Time-MoE,0.5
Sample 25,Moirai,0.5
Sample 26,Time-MoE,0.5
Sample 26,Moirai,0.5
Sample 27,Time-MoE,0.5
Sample 27,Moirai,0.5
Sample 28,Time-MoE,0.5
Sample 28,Moirai,0.5
Sample 29,Time-MoE,0.5
Sample 29,Moirai,0.5
Sample 30,Time-MoE,0.5
Sample 30,Moirai,0.5
Sample 31,Time-MoE,0.5
Sample 31,Moirai,0.5
Sample 0,Time-MoE,0.5022433400154114
Sample 0,TimesFM,0.497756689786911
Sample 1,Moirai,0.5007081031799316
Sample 1,TimesFM,0.49929186701774597
Sample 2,Timer,0.5
Sample 2,TimesFM,0.5
Sample 3,Moirai,0.5002222061157227
Sample 3,TimesFM,0.49977779388427734
Sample 4,Time-MoE,0.5024417042732239
Sample 4,TimesFM,0.4975583255290985
Sample 5,Moirai,0.5007674694061279
Sample 5,TimesFM,0.49923253059387207
Sample 6,Timer,0.5
Sample 6,TimesFM,0.5
Sample 7,Time-MoE,0.5073773860931396
Sample 7,TimesFM,0.49262261390686035
Sample 8,Moirai,0.5003299713134766
Sample 8,TimesFM,0.49967002868652344
Sample 9,Moirai,0.5007257461547852
Sample 9,TimesFM,0.49927425384521484
Sample 10,Moirai,0.5000479221343994
Sample 10,TimesFM,0.499952107667923
Sample 11,Timer,0.5
Sample 11,TimesFM,0.5
Sample 12,Timer,0.5
Sample 12,TimesFM,0.5
Sample 13,Moirai,0.5007615089416504
Sample 13,TimesFM,0.4992384910583496
Sample 14,Moirai,0.5002579689025879
Sample 14,TimesFM,0.4997420608997345
Sample 15,Time-MoE,0.5034408569335938
Sample 15,TimesFM,0.49655914306640625
Sample 16,Timer,0.5
Sample 16,TimesFM,0.5
Sample 17,Moirai,0.5006823539733887
Sample 17,TimesFM,0.49931764602661133
Sample 18,Timer,0.5
Sample 18,TimesFM,0.5
Sample 19,Moirai,0.5004143714904785
Sample 19,TimesFM,0.4995856285095215
Sample 20,Moirai,0.5005388259887695
Sample 20,TimesFM,0.49946117401123047
Sample 21,Moirai,0.5006957054138184
Sample 21,TimesFM,0.49930429458618164
Sample 22,Timer,0.5
Sample 22,TimesFM,0.5
Sample 23,Time-MoE,0.5115377306938171
Sample 23,TimesFM,0.48846226930618286
Sample 24,Moirai,0.5003972053527832
Sample 24,TimesFM,0.4996027946472168
Sample 25,Moirai,0.5005595088005066
Sample 25,TimesFM,0.49944043159484863
Sample 26,Moirai,0.500619649887085
Sample 26,TimesFM,0.49938032031059265
Sample 27,Moirai,0.5005714893341064
Sample 27,TimesFM,0.49942851066589355
Sample 28,Time-MoE,0.508932888507843
Sample 28,TimesFM,0.491067111492157
Sample 29,Moirai,0.5008859634399414
Sample 29,TimesFM,0.4991140365600586
Sample 30,Moirai,0.5004894733428955
